time,PM10_Standard,PM25_Standard,PM100_Standard,PM10_Enviornment,PM25_Enviornment,PM100_Enviornment,Particles_03um,Particles_05um,Particles_10um,Particles_25um,Particles_50um,Particles_100um,Tempurature,Relative_Humidity,Pressure,Altitude,Gas
1741392931.1319485,3.0,4.0,5.0,3.0,4.0,5.0,552.0,158.0,32.0,3.0,1.0,0.0,21.99953125,32.66028882197878,1008.7638971355462,37.417000551485074,220185.0
1741392932.1447916,3.0,4.0,5.0,3.0,4.0,5.0,552.0,158.0,32.0,3.0,1.0,0.0,21.9786328125,32.646950226517085,1008.7656997685782,37.40193839081747,222161.0
1741392933.1589055,3.0,4.0,5.0,3.0,4.0,5.0,552.0,158.0,32.0,3.0,1.0,0.0,21.9614453125,32.65690439179032,1008.7678649877483,37.383846618110255,222876.0
1741392934.1720579,3.0,4.0,4.0,3.0,4.0,4.0,525.0,145.0,32.0,3.0,1.0,0.0,21.9415234375,32.64939432781554,1008.7657140482391,37.40181907513513,222446.0
1741392935.185143,3.0,4.0,4.0,3.0,4.0,4.0,525.0,145.0,32.0,3.0,1.0,0.0,21.92453125,32.64788533931704,1008.7718449106948,37.35059193204527,223883.0
1741392936.198084,3.0,4.0,4.0,3.0,4.0,4.0,525.0,145.0,32.0,3.0,1.0,0.0,21.9122265625,32.65253271358083,1008.774390213459,37.329324429174775,222876.0
1741392937.2110279,3.0,5.0,5.0,3.0,5.0,5.0,561.0,155.0,40.0,7.0,1.0,0.0,21.902265625,32.657388266974536,1008.7733127410238,37.338327340313455,222304.0
1741392938.2241123,3.0,5.0,5.0,3.0,5.0,5.0,561.0,155.0,40.0,7.0,1.0,0.0,21.8925,32.67374214760579,1008.778033423552,37.2988833398972,223595.0
1741392939.2371576,3.0,5.0,5.0,3.0,5.0,5.0,561.0,155.0,40.0,7.0,1.0,0.0,21.8813671875,32.644053398756284,1008.780595977834,37.277471796938414,224028.0
1741392940.2503657,3.0,4.0,5.0,3.0,4.0,5.0,555.0,157.0,35.0,7.0,1.0,0.0,21.867890625,32.63711824675631,1008.7812892026245,37.27167953213073,224900.0
1741392941.2634687,3.0,4.0,5.0,3.0,4.0,5.0,555.0,157.0,35.0,7.0,1.0,0.0,21.8536328125,32.641592183937114,1008.7789186462676,37.29148681483863,224609.0
1741392942.2764113,3.0,4.0,5.0,3.0,4.0,5.0,555.0,157.0,35.0,7.0,1.0,0.0,21.8337109375,32.63982472159505,1008.782247985773,37.26366839017501,225193.0
1741392943.2877665,3.0,5.0,5.0,3.0,5.0,5.0,579.0,163.0,37.0,7.0,1.0,0.0,21.807734375,32.631782316720596,1008.7778494527411,37.30042051836261,225486.0
1741392944.3007424,3.0,5.0,5.0,3.0,5.0,5.0,579.0,163.0,37.0,7.0,1.0,0.0,21.781171875,32.64664196613534,1008.7743532835008,37.32963300040242,227409.0
1741392945.3136847,3.0,5.0,5.0,3.0,5.0,5.0,579.0,163.0,37.0,7.0,1.0,0.0,21.7575390625,32.661762142978915,1008.7681593685669,37.38138688300312,228459.0
1741392946.3268557,3.0,5.0,6.0,3.0,5.0,6.0,579.0,161.0,42.0,7.0,1.0,0.0,21.733125,32.688292834852135,1008.7607303155122,37.44346142646371,227858.0
1741392947.340883,3.0,5.0,6.0,3.0,5.0,6.0,579.0,161.0,42.0,7.0,1.0,0.0,21.7137890625,32.7037966507932,1008.757655296339,37.46915530892793,227111.0
1741392948.353747,3.0,5.0,6.0,3.0,5.0,6.0,579.0,161.0,42.0,7.0,1.0,0.0,21.693671875,32.71923201246261,1008.7533456400026,37.50516553367439,228760.0
1741392949.3667006,2.0,5.0,5.0,2.0,5.0,5.0,540.0,148.0,40.0,7.0,0.0,0.0,21.6770703125,32.723498729861426,1008.7490952453644,37.54068070706188,228760.0
1741392950.3792284,2.0,5.0,5.0,2.0,5.0,5.0,540.0,148.0,40.0,7.0,0.0,0.0,21.6579296875,32.74476297132559,1008.7499832056398,37.53326113584963,229822.0
1741392951.39233,2.0,5.0,5.0,2.0,5.0,5.0,540.0,148.0,40.0,7.0,0.0,0.0,21.6372265625,32.75440698228316,1008.7520617879775,37.51589304885276,229366.0
1741392952.406045,1.0,5.0,5.0,1.0,5.0,5.0,447.0,123.0,40.0,8.0,0.0,0.0,21.61359375,32.78101695073161,1008.7531721911568,37.506614823985004,230128.0
1741392953.4190507,1.0,5.0,5.0,1.0,5.0,5.0,447.0,123.0,40.0,8.0,0.0,0.0,21.5911328125,32.80773427924993,1008.7506422166014,37.52775461054591,229518.0
1741392954.432056,1.0,5.0,5.0,1.0,5.0,5.0,447.0,123.0,40.0,8.0,0.0,0.0,21.56671875,32.845769594429655,1008.7523435734214,37.51353852606704,230434.0
1741392955.4446075,2.0,5.0,5.0,2.0,5.0,5.0,483.0,129.0,36.0,8.0,0.0,0.0,21.5442578125,32.866749914365236,1008.7479799870413,37.5499995306967,230434.0
1741392956.4575744,2.0,5.0,5.0,2.0,5.0,5.0,483.0,129.0,36.0,8.0,0.0,0.0,21.526875,32.88818416435994,1008.7461444018244,37.56533724645449,231666.0
1741392957.4705827,2.0,5.0,5.0,2.0,5.0,5.0,483.0,129.0,36.0,8.0,0.0,0.0,21.50890625,32.926808673652374,1008.7470405472674,37.55784926434409,231048.0
1741392958.483926,2.0,5.0,5.0,2.0,5.0,5.0,534.0,146.0,37.0,8.0,0.0,0.0,21.493671875,32.94269305237694,1008.7467653819979,37.5601484805237,232443.0
1741392959.4965742,2.0,5.0,5.0,2.0,5.0,5.0,534.0,146.0,37.0,8.0,0.0,0.0,21.4798046875,32.96444863405802,1008.7486477904557,37.5444195289779,230894.0
1741392960.509561,2.0,5.0,5.0,2.0,5.0,5.0,534.0,146.0,37.0,8.0,0.0,0.0,21.4680859375,32.986398273367016,1008.7429479417999,37.59204616405975,230740.0
1741392961.5226107,2.0,5.0,5.0,2.0,5.0,5.0,528.0,148.0,36.0,7.0,0.0,0.0,21.4548046875,33.002461314993695,1008.7329518035135,37.67557214136487,232132.0
1741392962.5355997,2.0,5.0,5.0,2.0,5.0,5.0,528.0,148.0,36.0,7.0,0.0,0.0,21.4403515625,33.0069212115601,1008.7339068449114,37.66759195408234,231511.0
1741392963.547519,2.0,5.0,5.0,2.0,5.0,5.0,528.0,148.0,36.0,7.0,0.0,0.0,21.420234375,33.03387601706525,1008.7332327700585,37.67322442506457,232287.0
