time,PM10_Standard,PM25_Standard,PM100_Standard,PM10_Enviornment,PM25_Enviornment,PM100_Enviornment,Particles_03um,Particles_05um,Particles_10um,Particles_25um,Particles_50um,Particles_100um,Tempurature,Relative_Humidity,Pressure,Altitude,Gas
1741391037.6290662,0.0,1.0,2.0,0.0,1.0,2.0,390.0,108.0,11.0,2.0,1.0,1.0,24.4798046875,29.725486534250567,1009.2039935759844,33.74035784743715,73948.0
1741391038.6401706,0.0,1.0,2.0,0.0,1.0,2.0,390.0,108.0,11.0,2.0,1.0,1.0,24.4753125,29.708166329155777,1009.202437589125,33.75335454700911,75210.0
1741391039.6513433,0.0,1.0,2.0,0.0,1.0,2.0,390.0,108.0,11.0,2.0,1.0,1.0,24.4708203125,29.685201885321487,1009.2008815334526,33.766351837583805,76054.0
1741391040.6624808,0.0,0.0,1.0,0.0,0.0,1.0,372.0,100.0,10.0,2.0,1.0,1.0,24.4665234375,29.673549528468076,1009.192282964963,33.83817352778243,77594.0
1741391041.675465,0.0,0.0,1.0,0.0,0.0,1.0,372.0,100.0,10.0,2.0,1.0,1.0,24.46203125,29.64494644092624,1009.1944016832026,33.82047635868259,78562.0
1741391042.6885066,0.0,0.0,1.0,0.0,0.0,1.0,372.0,100.0,10.0,2.0,1.0,1.0,24.4579296875,29.627670043378558,1009.1934601019956,33.82834116753834,79699.0
1741391043.7016158,0.0,0.0,2.0,0.0,0.0,2.0,366.0,104.0,10.0,2.0,1.0,1.0,24.453828125,29.621683222510725,1009.1943558635078,33.820859079799625,80869.0
1741391044.715075,0.0,0.0,2.0,0.0,0.0,2.0,366.0,104.0,10.0,2.0,1.0,1.0,24.449140625,29.59871821021252,1009.198004331874,33.79038432698996,81998.0
1741391045.7270951,0.0,0.0,2.0,0.0,0.0,2.0,366.0,104.0,10.0,2.0,1.0,1.0,24.4442578125,29.598310379251174,1009.2050200731617,33.73178382798152,83080.0
1741391046.7401757,0.0,0.0,1.0,0.0,0.0,1.0,360.0,98.0,10.0,2.0,1.0,1.0,24.43859375,29.58091020815963,1009.2052941516334,33.72949453486299,84192.0
1741391047.7560084,0.0,0.0,1.0,0.0,0.0,1.0,360.0,98.0,10.0,2.0,1.0,1.0,24.4344921875,29.563642924038398,1009.2025147525004,33.752710023694355,85250.0
1741391048.76918,0.0,0.0,1.0,0.0,0.0,1.0,360.0,98.0,10.0,2.0,1.0,1.0,24.4290234375,29.55754555423213,1009.1994212701142,33.778549016787515,86252.0
1741391049.7823362,0.0,0.0,1.0,0.0,0.0,1.0,354.0,92.0,9.0,2.0,1.0,1.0,24.42375,29.540183929827826,1009.2039843320714,33.74043505907044,87363.0
1741391050.795403,0.0,0.0,1.0,0.0,0.0,1.0,354.0,92.0,9.0,2.0,1.0,1.0,24.4190625,29.539793141541576,1009.2021200058936,33.756007228117625,88238.0
1741391051.8084135,0.0,0.0,1.0,0.0,0.0,1.0,354.0,92.0,9.0,2.0,1.0,1.0,24.415546875,29.53386004177684,1009.1965877946022,33.802216301457065,89311.0
1741391052.8215015,0.0,0.0,1.0,0.0,0.0,1.0,369.0,94.0,11.0,1.0,0.0,0.0,24.4114453125,29.527878445591227,1009.1938081264872,33.8254341991993,90133.0
1741391053.8345776,1.0,1.0,2.0,1.0,1.0,2.0,369.0,94.0,11.0,1.0,0.0,0.0,24.4063671875,29.53309495312752,1009.196840771639,33.80010324781674,90971.0
