time,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16
1740179287.4685137,0.0,0.0,0.0,0.0,0.0,0.0,306.0,82.0,7.0,2.0,0.0,0.0,23.7628125,31.343035371148765,1009.3774867819127,32.291321990849724
1740179288.481605,0.0,0.0,0.0,0.0,0.0,0.0,306.0,82.0,7.0,2.0,0.0,0.0,23.7534375,31.436362835533494,1009.3791154057013,32.27772048704487
1740179289.495569,0.0,0.0,0.0,0.0,0.0,0.0,312.0,86.0,7.0,1.0,0.0,0.0,23.7450390625,31.120218024918426,1009.3650932402556,32.394827633632595
1740179290.5086143,0.0,0.0,0.0,0.0,0.0,0.0,312.0,86.0,7.0,1.0,0.0,0.0,23.7301953125,31.030523705023583,1009.3524063245756,32.50078447863179
1740179291.5215108,0.0,0.0,0.0,0.0,0.0,0.0,312.0,86.0,7.0,1.0,0.0,0.0,23.6934765625,30.961086792883727,1009.344666763122,32.56542321769447
1740179292.5345263,0.0,1.0,1.0,0.0,1.0,1.0,306.0,88.0,11.0,1.0,0.0,0.0,23.6626171875,30.89771520982384,1009.3380663489745,32.62054842140167
1740179293.5475407,0.0,1.0,1.0,0.0,1.0,1.0,306.0,88.0,11.0,1.0,0.0,0.0,23.6227734375,30.82257758938246,1009.3302825223682,32.68555760012003
1740179294.5606282,0.0,1.0,1.0,0.0,1.0,1.0,306.0,88.0,11.0,1.0,0.0,0.0,23.59796875,30.870087131179545,1009.3286010410354,32.69960109581993
1740179295.5736828,0.0,1.0,1.0,0.0,1.0,1.0,312.0,90.0,11.0,1.0,0.0,0.0,23.575703125,30.91230934976788,1009.3277015995559,32.70711311238932
1740179296.586733,0.0,1.0,1.0,0.0,1.0,1.0,312.0,90.0,11.0,1.0,0.0,0.0,23.5426953125,30.843277531841686,1009.3313195725106,32.67689631256957
1740179297.599739,0.0,1.0,1.0,0.0,1.0,1.0,312.0,90.0,11.0,1.0,0.0,0.0,23.5001171875,30.84513793355956,1009.3362241213786,32.63593435221016
1740179298.612762,0.0,1.0,1.0,0.0,1.0,1.0,318.0,90.0,13.0,0.0,0.0,0.0,23.45421875,30.747495233959604,1009.333847307239,32.655785080684026
1740179299.6257923,0.0,1.0,1.0,0.0,1.0,1.0,318.0,90.0,13.0,0.0,0.0,0.0,23.4118359375,30.611698822431826,1009.3269700383194,32.71322301931236
1740179300.6388154,0.0,1.0,1.0,0.0,1.0,1.0,318.0,90.0,13.0,0.0,0.0,0.0,23.3659375,30.569266251393383,1009.3228490260282,32.74764125975708
1740179301.6518347,0.0,1.0,1.0,0.0,1.0,1.0,336.0,94.0,16.0,0.0,0.0,0.0,23.321796875,30.565511793627053,1009.3164744756729,32.80088102586782
1740179302.664869,0.0,1.0,1.0,0.0,1.0,1.0,336.0,94.0,16.0,0.0,0.0,0.0,23.268671875,30.52249200569912,1009.3106258413527,32.849728620223345
1740179303.677047,0.0,1.0,1.0,0.0,1.0,1.0,336.0,94.0,16.0,0.0,0.0,0.0,23.225703125,30.50784681065192,1009.309644908271,32.85792136230401
